id;order_id;order_code;cust_id;product_id;start_date;end_date;active_flag;create_date;create_by;update_date;update_by
1;48469;32217;74058;74141;2020-07-27;2020-07-27;true;2020-07-27;Orchestrator Malaysian Ringgit;2020-07-27;2020-07-28
2;69947;20742;55341;26312;2020-07-27;2020-07-27;false;2020-07-27;target online;2020-07-27;2020-07-27
3;80077;29939;17935;87953;2020-07-27;2020-07-28;true;2020-07-28;Pike integrate synergize;2020-07-27;2020-07-27
4;73814;70320;61533;47723;2020-07-27;2020-07-27;false;2020-07-28;hack Cotton;2020-07-27;2020-07-27
5;92332;54519;29068;66445;2020-07-28;2020-07-28;true;2020-07-27;generate;2020-07-28;2020-07-27
6;26851;95082;28808;69512;2020-07-27;2020-07-27;false;2020-07-27;initiative client-server;2020-07-27;2020-07-28
7;45390;9978;28537;90448;2020-07-28;2020-07-28;true;2020-07-28;Indian Rupee Ngultrum solid state;2020-07-27;2020-07-28
8;67766;82587;91160;1237;2020-07-27;2020-07-27;false;2020-07-28;Shoes Personal Loan Account;2020-07-27;2020-07-27
9;68075;82880;54652;1194;2020-07-28;2020-07-27;false;2020-07-28;generate Web;2020-07-27;2020-07-28
10;34916;14750;46960;27235;2020-07-27;2020-07-27;false;2020-07-27;invoice Internal Rustic;2020-07-28;2020-07-27
